"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"l1_regio";"l1_fairbez";"l1_umweltziel";"l1_divinkl";"l1_recycling";"l1_vegan";"l1_transpa";"l1_qual";"l1_kauf";"l2_regio";"l2_fairbez";"l2_umweltziel";"l2_divinkl";"l2_recycling";"l2_vegan";"l2_transpa";"l2_qual";"l2_kauf";"l_regio";"l_fairbez";"l_umweltziel";"l_divinkl";"l_recycling";"l_vegan";"l_transpa";"l_qual";"l_kauf";"grund_regio";"grund_fairbez";"grund_umweltziel";"grund_divinkl";"grund_recycling";"grund_vegan";"grund_preilei";"grund_transpa";"grund_qual"
"1333";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Grün";"3";"4";"5";"3";"4";"5";"4";"4";"5";"3";"2";"4";"2";"3";"4";"3";"3";"3";"3,0";"3,0";"4,5";"2,5";"3,5";"4,5";"4";"3,5";"4,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1353";"männlich";"Ja";"Anderer Abschluss, und zwar:";"24";"12";"a1";"Blau";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"3";"3,0";"4,0";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"1365";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"10";"a3";"Blau";"1";"2";"1";"3";"3";"1";"2";"2";"5";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2,0";"2,5";"2,0";"3,0";"3,0";"2,0";"2";"2,5";"3,5";"1";"2";"1";"2";"1";"1";"2";"1";"1"
"1375";"männlich";"Ja";"Anderer Abschluss, und zwar:";"28";"80";"a3";"Grün";"2";"3";"3";"3";"3";"3";"2";"3";"4";"2";"2";"1";"1";"2";"1";"1";"4";"4";"2,0";"2,5";"2,0";"2,0";"2,5";"2,0";"2";"3,5";"4,0";"1";"1";"2";"1";"1";"1";"2";"1";"2"
"1381";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"10";"a3";"Blau";"3";"3";"3";"3";"3";"4";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3,0";"3,0";"3,0";"3,0";"3,0";"3,5";"3";"3,0";"4,0";"1";"1";"1";"1";"1";"1";"2";"1";"2"
"1387";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"29";"13";"a2";"Grün";"2";"2";"2";"3";"3";"3";"3";"3";"3";"4";"4";"3";"3";"4";"3";"3";"3";"5";"3,0";"3,0";"2,5";"3,0";"3,5";"3,0";"3";"3,0";"4,0";"1";"2";"1";"2";"1";"1";"2";"1";"1"
"1393";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"65";"a3";"Blau";"3";"3";"4";"2";"4";"2";"3";"4";"5";"3";"2";"2";"2";"2";"2";"2";"3";"3";"3,0";"2,5";"3,0";"2,0";"3,0";"2,0";"3";"3,5";"4,0";"1";"1";"1";"1";"2";"1";"2";"1";"2"
"1400";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Grün";"5";"5";"5";"1";"4";"4";"1";"4";"3";"2";"4";"1";"4";"2";"1";"2";"4";"2";"3,5";"4,5";"3,0";"2,5";"3,0";"2,5";"1";"4,0";"2,5";"1";"1";"1";"1";"1";"1";"2";"1";"1"
"1418";NA;"Nein";"Abitur, Hochschulreife";"23";"13";"a5";"Blau";"5";"5";"4";"2";"2";"2";"1";"5";"5";"2";"2";"3";"4";"4";"4";"4";"4";"5";"3,5";"3,5";"3,5";"3,0";"3,0";"3,0";"1";"4,5";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"1425";"männlich";"Ja";"Abitur, Hochschulreife";"21";"10";"a3";"Grün";"3";"2";"2";"4";"4";"3";"2";"4";"5";"3";"3";"4";"2";"3";"3";"3";"3";"5";"3,0";"2,5";"3,0";"3,0";"3,5";"3,0";"2";"3,5";"5,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
